dim,model,accuracy,precision,recall,f1,auc
10,svm,0.7350000000000001,0.6883333333333335,0.33333333333333337,0.41598124098124095,0.7892857142857143
10,random_forest,0.74,0.5766666666666667,0.39999999999999997,0.46489898989898987,0.7714285714285715
10,logic_regression,0.765,0.6392857142857143,0.6333333333333333,0.6197435897435898,0.830952380952381
10,knn,0.735,0.8400000000000001,0.21666666666666665,0.32279220779220774,0.6880952380952381
10,mlp,0.665,0.44119047619047613,0.23333333333333334,0.28664446664446663,0.44523809523809527
15,svm,0.7899999999999999,0.8566666666666667,0.38333333333333336,0.5038600288600288,0.7964285714285714
15,random_forest,0.805,0.8566666666666667,0.45,0.5613997113997113,0.775
15,logic_regression,0.74,0.6220238095238095,0.4833333333333334,0.5224958374958375,0.7833333333333333
15,knn,0.77,0.8933333333333333,0.3166666666666666,0.4299422799422798,0.738095238095238
15,mlp,0.75,0.6292857142857142,0.45,0.5053496503496503,0.7047619047619047
25,svm,0.825,0.86,0.5,0.6171212121212121,0.925
25,random_forest,0.8049999999999999,0.8633333333333333,0.4333333333333333,0.5568542568542568,0.8648809523809524
25,logic_regression,0.7700000000000001,0.6455158730158731,0.6833333333333333,0.6564052614052615,0.8202380952380952
25,knn,0.74,0.7055555555555555,0.3166666666666666,0.3873809523809523,0.8119047619047619
25,mlp,0.825,0.7421428571428572,0.6333333333333333,0.6724630924630924,0.880952380952381
40,svm,0.8299999999999998,0.9099999999999999,0.4999999999999999,0.6345454545454545,0.9547619047619049
40,random_forest,0.78,0.875,0.2833333333333333,0.4076190476190476,0.8946428571428571
40,logic_regression,0.9299999999999999,0.9633333333333333,0.7999999999999999,0.8663636363636364,0.9880952380952381
40,knn,0.76,0.6683333333333332,0.35,0.4451010101010101,0.8517857142857143
40,mlp,0.8150000000000001,0.6786904761904762,0.7333333333333333,0.6978288378288379,0.8940476190476192
60,svm,0.85,0.8707142857142858,0.5833333333333333,0.6794289044289045,0.9404761904761907
60,random_forest,0.77,0.75,0.24999999999999994,0.3654761904761904,0.9142857142857143
60,logic_regression,0.8949999999999999,0.8623809523809524,0.7833333333333333,0.8180652680652681,0.9654761904761905
60,knn,0.82,0.8183333333333334,0.5166666666666666,0.6276767676767676,0.8202380952380952
60,mlp,0.845,0.7483333333333333,0.7333333333333332,0.7345920745920745,0.9011904761904761
100,svm,0.7749999999999999,0.7,0.25,0.3571428571428571,0.9202380952380953
100,random_forest,0.78,0.8,0.2666666666666667,0.3871428571428571,0.938095238095238
100,logic_regression,0.9,0.8720238095238095,0.8166666666666668,0.8305427905427907,0.955952380952381
100,knn,0.725,0.5166666666666666,0.15,0.2265873015873016,0.7345238095238096
100,mlp,0.8300000000000001,0.7388095238095238,0.7,0.7108624708624709,0.8666666666666668
150,svm,0.7000000000000001,0.0,0.0,0.0,0.9369047619047619
150,random_forest,0.74,0.7,0.13333333333333333,0.2214285714285714,0.8517857142857144
150,logic_regression,0.8850000000000001,0.8621428571428572,0.75,0.7895337995337994,0.95
150,knn,0.705,0.5166666666666666,0.13333333333333336,0.20515873015873015,0.7416666666666666
150,mlp,0.8099999999999999,0.7523809523809524,0.6333333333333333,0.6524664224664225,0.8476190476190476
200,svm,0.7000000000000001,0.0,0.0,0.0,0.8345238095238094
200,random_forest,0.7100000000000002,0.15,0.05,0.075,0.8494047619047619
200,logic_regression,0.8799999999999999,0.8780952380952382,0.7166666666666667,0.7685547785547786,0.9357142857142857
200,knn,0.74,0.65,0.2166666666666667,0.3154761904761904,0.7208333333333333
200,mlp,0.795,0.7322222222222221,0.5999999999999999,0.6316883116883116,0.8297619047619047
250,svm,0.7000000000000001,0.0,0.0,0.0,0.8023809523809522
250,random_forest,0.725,0.3,0.08333333333333333,0.12380952380952381,0.7922619047619047
250,logic_regression,0.8999999999999998,0.9323809523809523,0.7333333333333334,0.8110955710955711,0.9523809523809523
250,knn,0.74,0.7333333333333333,0.29999999999999993,0.3912698412698412,0.7124999999999999
250,mlp,0.7550000000000001,0.6508333333333333,0.5666666666666667,0.584090909090909,0.8261904761904761
